entity_id,temperature,ph,turbidity,conductivity,nivel_agua,dateobserved,latitude,longitude
Boya01,-127.0,7.0,1005.47,253.03,723.3,2024-03-01 12:00:00,28.6809372715652,-17.952827461995184
Boya01,-127.0,6.95,860.45,253.79,722.6,2024-03-01 12:00:00,28.6809372715652,-17.952827461995184
Boya01,-127.0,7.0,957.13,243.18,722.6,2024-03-01 12:00:00,28.6809372715652,-17.952827461995184
Boya01,-127.0,6.98,986.13,253.79,727.0,2024-03-01 12:00:00,28.6809372715652,-17.952827461995184
Boya01,-127.0,6.98,950.68,246.97,731.9,2024-03-01 12:00:00,28.6809372715652,-17.952827461995184
Boya01,-127.0,6.97,957.13,236.36,728.3,2024-03-01 12:00:00,28.6809372715652,-17.952827461995184
Boya01,-127.0,7.09,966.8,243.94,728.3,2024-03-01 12:00:00,28.6809372715652,-17.952827461995184
Boya01,-127.0,6.96,953.91,202.27,725.8,2024-03-01 12:00:00,28.6809372715652,-17.952827461995184
Boya01,-127.0,7.08,973.24,243.94,725.8,2024-03-01 12:00:00,28.6809372715652,-17.952827461995184
Boya01,-127.0,6.98,960.35,251.52,748.8,2024-03-01 12:00:00,28.6809372715652,-17.952827461995184
Boya01,-127.0,7.01,1015.14,237.12,746.0,2024-03-01 12:00:00,28.6809372715652,-17.952827461995184
Boya01,-127.0,7.03,966.8,247.73,730.6,2024-03-01 12:00:00,28.6809372715652,-17.952827461995184
Boya01,-127.0,17.54,941.02,231.06,10.3,2024-03-01 12:00:00,28.6809372715652,-17.952827461995184
Boya01,-127.0,18.0,921.68,233.33,725.8,2024-03-01 12:00:00,28.6809372715652,-17.952827461995184
Boya_Luis,0.0,7.2,15.3,100.2,20.3,2024-03-01 12:00:00,28.6809372715652,-17.952827461995184
Boya_Luis,3.33,17.81,3.22,108.52,741.9,2024-03-01 12:00:00,28.6809372715652,-17.952827461995184
Boya01,18.25,17.81,3.22,108.52,741.9,2024-03-01 12:00:00,28.6809372715652,-17.952827461995184
Boya01,-127.0,8.74,1118.26,231.82,731.3,2024-03-01 12:00:00,28.6809372715652,-17.952827461995184
Boya01,-127.0,7.0,986.13,221.21,736.2,2024-03-01 12:00:00,28.6809372715652,-17.952827461995184
Boya01,-127.0,6.99,1021.58,205.3,742.4,2024-03-01 12:00:00,28.6809372715652,-17.952827461995184
Boya01,-127.0,7.0,957.13,237.88,714.4,2024-03-01 12:00:00,28.6809372715652,-17.952827461995184
Boya01,-127.0,6.98,947.46,251.52,708.1,2024-03-01 12:00:00,28.6809372715652,-17.952827461995184
Boya01,-127.0,6.98,937.79,240.15,700.8,2024-03-01 12:00:00,28.6809372715652,-17.952827461995184
Boya01,-127.0,7.0,957.13,246.97,720.5,2024-03-01 12:00:00,28.6809372715652,-17.952827461995184
Boya01,-127.0,7.02,828.22,234.09,741.9,2024-03-01 12:00:00,28.6809372715652,-17.952827461995184
Boya01,-127.0,6.98,1002.25,202.27,740.0,2024-03-01 12:00:00,28.6809372715652,-17.952827461995184
Boya01,-127.0,7.02,1028.03,239.39,726.3,2024-03-01 12:00:00,28.6809372715652,-17.952827461995184
Boya01,-127.0,6.99,1021.58,235.61,739.8,2024-03-01 12:00:00,28.6809372715652,-17.952827461995184
Boya01,-127.0,6.99,960.35,216.67,724.3,2024-03-01 12:00:00,28.6809372715652,-17.952827461995184
Boya01,-127.0,7.03,1002.25,236.36,734.1,2024-03-01 12:00:00,28.6809372715652,-17.952827461995184
Boya01,-127.0,7.01,1021.58,246.21,735.3,2024-03-01 12:00:00,28.6809372715652,-17.952827461995184
Boya01,-127.0,6.98,995.8,238.64,704.0,2024-03-01 12:00:00,28.6809372715652,-17.952827461995184
Boya01,-127.0,7.04,970.02,234.85,737.2,2024-03-01 12:00:00,28.6809372715652,-17.952827461995184
Boya01,-127.0,6.98,944.24,229.55,744.1,2024-03-01 12:00:00,28.6809372715652,-17.952827461995184
Boya01,-127.0,7.0,960.35,251.52,722.5,2024-03-01 12:00:00,28.6809372715652,-17.952827461995184
Boya01,-127.0,6.97,966.8,240.91,741.1,2024-03-01 12:00:00,28.6809372715652,-17.952827461995184
Boya01,-127.0,7.01,970.02,246.21,738.2,2024-03-01 12:00:00,28.6809372715652,-17.952827461995184
Boya01,-127.0,7.0,953.91,244.7,725.2,2024-03-01 12:00:00,28.6809372715652,-17.952827461995184
Boya01,-127.0,7.0,1015.14,246.21,744.6,2024-03-01 12:00:00,28.6809372715652,-17.952827461995184
Boya01,-127.0,7.01,992.58,218.94,733.2,2024-03-01 12:00:00,28.6809372715652,-17.952827461995184
Boya01,-127.0,6.98,944.24,232.58,752.2,2024-03-01 12:00:00,28.6809372715652,-17.952827461995184
Boya01,-127.0,7.02,995.8,245.45,739.1,2024-03-01 12:00:00,28.6809372715652,-17.952827461995184
Boya01,-127.0,6.98,1008.69,204.55,752.3,2024-03-01 12:00:00,28.6809372715652,-17.952827461995184
Boya01,-127.0,6.99,992.58,247.73,732.8,2024-03-01 12:00:00,28.6809372715652,-17.952827461995184
Boya01,-127.0,6.98,982.91,236.36,726.5,2024-03-01 12:00:00,28.6809372715652,-17.952827461995184
Boya01,-127.0,7.03,982.91,245.45,721.7,2024-03-01 12:00:00,28.6809372715652,-17.952827461995184
Boya01,-127.0,7.03,957.13,231.82,739.0,2024-03-01 12:00:00,28.6809372715652,-17.952827461995184
Boya01,-127.0,6.99,982.91,253.03,726.9,2024-03-01 12:00:00,28.6809372715652,-17.952827461995184
Boya01,-127.0,7.0,957.13,245.45,702.8,2024-03-01 12:00:00,28.6809372715652,-17.952827461995184
Boya01,-127.0,7.02,999.02,246.21,702.8,2024-03-01 12:00:00,28.6809372715652,-17.952827461995184
Boya01,-127.0,6.98,989.36,229.55,728.8,2024-03-01 12:00:00,28.6809372715652,-17.952827461995184
Boya01,-127.0,7.0,953.91,209.85,704.4,2024-03-01 12:00:00,28.6809372715652,-17.952827461995184
Boya01,-127.0,6.97,950.68,237.88,711.9,2024-03-01 12:00:00,28.6809372715652,-17.952827461995184
Boya01,-127.0,7.01,995.8,234.85,724.2,2024-03-01 12:00:00,28.6809372715652,-17.952827461995184
Boya01,-127.0,6.98,950.68,239.39,739.6,2024-03-01 12:00:00,28.6809372715652,-17.952827461995184
Boya01,-127.0,7.04,1011.91,225.76,747.0,2024-03-01 12:00:00,28.6809372715652,-17.952827461995184
Boya01,-127.0,6.98,944.24,246.97,747.0,2024-03-01 12:00:00,28.6809372715652,-17.952827461995184
Boya01,-127.0,7.0,979.69,232.58,738.7,2024-03-01 12:00:00,28.6809372715652,-17.952827461995184
Boya01,-127.0,7.03,992.58,250.0,718.1,2024-03-01 12:00:00,28.6809372715652,-17.952827461995184
Boya01,-127.0,7.03,995.8,239.39,734.5,2024-03-01 12:00:00,28.6809372715652,-17.952827461995184
Boya01,-127.0,6.99,950.68,229.55,726.1,2024-03-01 12:00:00,28.6809372715652,-17.952827461995184
Boya01,-127.0,6.99,1011.91,231.82,736.8,2024-03-01 12:00:00,28.6809372715652,-17.952827461995184
Boya01,-127.0,7.0,976.46,237.88,742.5,2024-03-01 12:00:00,28.6809372715652,-17.952827461995184
Boya01,-127.0,7.01,1015.14,241.67,742.5,2024-03-01 12:00:00,28.6809372715652,-17.952827461995184
Boya01,-127.0,7.0,982.91,201.52,693.5,2024-03-01 12:00:00,28.6809372715652,-17.952827461995184
Boya01,-127.0,7.0,989.36,203.79,729.8,2024-03-01 12:00:00,28.6809372715652,-17.952827461995184
Boya01,-127.0,6.98,966.8,238.64,732.2,2024-03-01 12:00:00,28.6809372715652,-17.952827461995184
Boya01,-127.0,7.02,957.13,225.76,722.0,2024-03-01 12:00:00,28.6809372715652,-17.952827461995184
Boya01,-127.0,7.0,979.69,212.88,735.1,2024-03-01 12:00:00,28.6809372715652,-17.952827461995184
Boya01,-127.0,7.0,992.58,237.88,734.0,2024-03-01 12:00:00,28.6809372715652,-17.952827461995184
Boya01,-127.0,7.02,1021.58,245.45,728.5,2024-03-01 12:00:00,28.6809372715652,-17.952827461995184
Boya01,-127.0,7.0,1015.14,243.94,714.3,2024-03-01 12:00:00,28.6809372715652,-17.952827461995184
Boya01,-127.0,7.03,937.79,234.09,723.1,2024-03-01 12:00:00,28.6809372715652,-17.952827461995184
Boya01,-127.0,6.96,1002.25,245.45,720.6,2024-03-01 12:00:00,28.6809372715652,-17.952827461995184
Boya01,-127.0,7.03,1005.47,237.88,740.8,2024-03-01 12:00:00,28.6809372715652,-17.952827461995184
Boya01,-127.0,7.03,934.57,237.88,738.8,2024-03-01 12:00:00,28.6809372715652,-17.952827461995184
Boya01,-127.0,7.0,976.46,235.61,731.5,2024-03-01 12:00:00,28.6809372715652,-17.952827461995184
Boya01,-127.0,7.0,1005.47,236.36,734.0,2024-03-01 12:00:00,28.6809372715652,-17.952827461995184
Boya01,-127.0,7.01,989.36,234.85,736.1,2024-03-01 12:00:00,28.6809372715652,-17.952827461995184
Boya01,-127.0,6.97,1018.36,237.12,732.2,2024-03-01 12:00:00,28.6809372715652,-17.952827461995184
Boya01,-127.0,6.99,957.13,249.24,734.6,2024-03-01 12:00:00,28.6809372715652,-17.952827461995184
Boya01,-127.0,6.99,941.02,205.3,748.1,2024-03-01 12:00:00,28.6809372715652,-17.952827461995184
Boya01,-127.0,7.01,999.02,179.55,739.4,2024-03-01 12:00:00,28.6809372715652,-17.952827461995184
Boya01,-127.0,6.96,982.91,235.61,739.2,2024-03-01 12:00:00,28.6809372715652,-17.952827461995184
